Nom_accueil ;type_accueil;code_type_accueil;jour_ouverture;heures_ouverture;complément;adresse_caf_fr;code postal_caf_fr;ville_caf_fr;adresse_google;code postal_ville_google;pays_google;Longitude;Latitude;nom_epci;num_epci;code_com;code_Dept;Nom_Dept;Nom_Reg;
Mairie - Linselles;permanence;3;Vendredi;de 14h à 17h les 1er et 3ème vendredis du mois;Fermé pendant les vacances scolaires;12 rue de Bousbecque;59126;Linselles;12 Rue de Bousbecque; 59126 Linselles; France; 3.080364099999997;50.7392141;Métropole Européenne de Lille;245900410;59352;59;NORD;NORD-PAS-DE-CALAIS;
CPAM - Lomme;permanence;3;Lundi;de 13h00 à 16h00;Fermé pendant les vacances scolaires;107 avenue de la République;59160;Lille;107 Avenue de la République; 59160 Lille; France; 3.010472199999981;50.6372627;Métropole Européenne de Lille;245900410;59350;59;NORD;NORD-PAS-DE-CALAIS;
Centre social Dulcie September - Loon Plage;permanence;3;Mercredi;de 9h00 à 11h00;Fermé pendant les vacances scolaires;60 rue Georges Pompidou;59279;Loon-Plage;60 Rue Georges Pompidou; 59279 Loon-Plage; France; 2.2230753999999706;50.9954107;CU de Dunkerque;245900428;59359;59;NORD;NORD-PAS-DE-CALAIS;
Loos;Antenne;2;Mardi-Vendredi;de 8h30 à 16h00;Fermé pendant les vacances scolaires;1 rue Georges Potié;59120;Loos;1 Rue Georges Potié; 59120 Loos; France; 3.008322899999939;50.61407510000001;Métropole Européenne de Lille;245900410;59360;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Lourches;permanence;3;Jeudi;de 8h30 à 12h00;Fermé pendant les vacances scolaires;647 rue Jean Jaurès;59156;Lourches;647 Rue Jean Jaurès; 59156 Lourches; France; 3.3531450000000405;50.3148667;CA de la Porte du Hainaut;200042190;59361;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Maing;permanence;3;Jeudi;de 16h00 à 17h00;Fermé pendant les vacances scolaires;rue Jean Jaurès;59233;Maing;Rue Jean Jaurès; 59233 Maing; France; 3.48161970000001;50.3074903;CA Valenciennes Métropole;245901160;59369;59;NORD;NORD-PAS-DE-CALAIS;
Espace Robert Schumann - Marcq-en-Baroeul;permanence;3;Jeudi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;103 avenue Foch;59700;Marcq-en-Baroeul;103 Avenue Foch; 59700 Marcq-en-Barœul; France; 3.09554890000004;50.6732025;Métropole Européenne de Lille;245900410;59378;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Bureau des permanences - Marly;permanence;3;Vendredi;de 10h30 à 12h00;Fermé pendant les vacances scolaires;place Gabriel Péri;59770;Marly;1B Pl. Gabriel Peri; 59770 Marly; France;3.5434927999999672;50.3492065;CA Valenciennes Métropole;245901160;59383;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Marquette en Ostrevant;permanence;3;Mercredi;de 14h00 à 15h30;Fermé pendant les vacances scolaires;34 rue Pasteur;59252;Marquette-en-Ostrevant;34 Rue Pasteur; 59252 Marquette-en-Ostrevant; France; 3.2660017000000607;50.28609489999999;CA de la Porte du Hainaut;200042190;59387;59;NORD;NORD-PAS-DE-CALAIS;
Agence de Maubeuge - Accueil sur rendez-vous;Agence;1;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 16h00;;place de Wattignies;59600;Maubeuge;Place de Wattignies la Victoire; 59600 Maubeuge; France; 3.9697415000000547;50.2753528;CA Maubeuge Val de Sambre;200043396;59392;59;NORD;NORD-PAS-DE-CALAIS;
Espace d'animation - Merville;permanence;3;Mercredi;de 9h00 à 12h00 et de 13h30 à 16h00;Fermé pendant les vacances scolaires;18 Place François Mitterrand;59660;Merville;18 Rue François Mauriac;59660 Merville; France;2.645388300000036;50.6497237;CC Flandre Lys;245900758;59400;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Mortagne du Nord;permanence;3;Jeudi;de 13h30 à 15h30;Fermé pendant les vacances scolaires;place Paul Gillet;59158;Mortagne-du-Nord;Place Paul Gillet; 59158 Mortagne-du-Nord; France; 3.455239399999982;50.5033344;CA de la Porte du Hainaut;200042190;59418;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services - Onnaing;permanence;3;Lundi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;17 Chasse de Valenciennes;59264;Onnaing;17 Chasse de Valenciennes; 59264 Onnaing; France; 3.5987173999999413;50.3993205;CA Valenciennes Métropole;245901160;59447;59;NORD;NORD-PAS-DE-CALAIS;
Hôtel de Ville - Orchies;permanence;3;Mercredi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;place Général de Gaulle;59310;Orchies;Place Général de Gaulle; 59310 Orchies; France; 3.2419234999999844;50.4744591;CC Pévèle-Carembault;200041960;59449;59;NORD;NORD-PAS-DE-CALAIS;
Centre social - Ostricourt;permanence;3;Lundi;De 9h30 à 11h30;Fermé pendant les vacances scolaires;251 Avenue du Maréchal Leclerc;59162;Ostricourt;251 Avenue du Maréchal Leclerc; 59162 Ostricourt; France; 3.029583799999955;50.4581279;CC Pévèle-Carembault;200041960;59452;59;NORD;NORD-PAS-DE-CALAIS;
Centre social Françoise Dolto - Pecquencourt;permanence;3;Jeudi;de 10 h 30 à 12 h 00;Fermeture pendant les vacances scolaires;4 rue Estienne d'Orves;59146;Pecquencourt;4 Rue d'Estienne d'Orves;59146 Pecquencourt; France;3.21601069999997;50.3776085;CC Coeur d'Ostrevent [c.C.C.O.];245901152;59456;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Petite Forêt;permanence;3;Mercredi;de 10h30 à 11h30;Fermé pendant les vacances scolaires;80 rue Jean Jaurès;59494;Petite-Forêt;80 Rue Jean Jaurès; 59494 Petite-Forêt; France; 3.4792204999999967;50.3761838;CA Valenciennes Métropole;245901160;59459;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Prouvy;permanence;3;Mercredi;de 16h15 à 17h15;Fermé pendant les vacances scolaires;rue de la Mairie;59121;Prouvy;Rue de la Mairie; 59121 Prouvy; France; 3.4498016000000007;50.3187108;CA Valenciennes Métropole;245901160;59475;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Quiévrechain;permanence;3;Jeudi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;1 place Roger Salengro;59920;Quiévrechain;1 Place Roger Salengro; 59920 Quiévrechain; France; 3.6704518000000235;50.3951429;CA Valenciennes Métropole;245901160;59484;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Espace Solidarité - Raismes;permanence;3;Mercredi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;rue Roger Claie;59590;Raismes;Boulevard Roger Claie; 59590 Raismes; France; 3.483724299999949;50.3902863;CA de la Porte du Hainaut;200042190;59491;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services - Raismes;permanence;3;Vendredi;de 13h30 à 15h30;Fermé pendant les vacances scolaires;78 D rue Thiers;59590;Raismes;78D Rue Thiers; 59590 Raismes; France; 3.516991800000028;50.4063805;CA de la Porte du Hainaut;200042190;59491;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Roeulx;permanence;3;Mardi;de 8h30 à 10h00;Fermé pendant les vacances scolaires;Place Gilbert Henri;59172;Roeulx;Place Gilbert Henry; 59172 Rœulx; France; 3.33450449999998;50.3069909;CA de la Porte du Hainaut;200042190;59504;59;NORD;NORD-PAS-DE-CALAIS;
Mairie annexe - Roncq;permanence;3;Jeudi;de 14h00 à 17h00 les 1er et 3ème jeudis du mois;Fermé pendant les vacances scolaires;8 rue des Arts;59223;Roncq;8 Rue des Arts; 59223 Roncq; France; 3.121496400000069;50.7530685;Métropole Européenne de Lille;245900410;59508;59;NORD;NORD-PAS-DE-CALAIS;
